USBL,SIGNED,40-Man,POS,NAME,B/T,DOB,STATUS,QO,BASE,FG WAR 24,FG WAR 25,GS,IP,AB,USBL,PTS,MLBAM_ID,DECISION,New 40,COST,,,,BA,PTS,MLB,PTS,P1500,PTS,FG,PTS
CHH,D2023464CHH16,RELEASE,1,"ABREU, WANDY",,06/08/02,M4,,,,,,,,,,800107,RELEASE,, $-   ,,0.00,1,0.00,,,,,,,
HIB,D2023212LVA08,40,8,"ABREU, WILYER",,06/24/99,O2,," $1,480,000 ",3.10,2.40,,,392,,,677800,KEEP,40," $1,480,000 ",,412.00,8,2.40,,,,,,,
MOE,D2024521MOE18,,8,"ACEVEDO, ANDY",L,11/26/05,M3,,,,,,,,,,807005,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
ALC,D2021156ALC06,RELEASE,8,"ACEVEDO, STIVEN",,08/02/02,MR5,,,,,,,,,,685776,RELEASE,, $-   ,,0.00,8,0.00,,,,,,,
KC1,D2025316KC111,,0,"ACKENHAUSEN, NATE",L/L,09/23/01,M2,,,,,,,,,,806004,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
NEE,D2021115RFS04,,1,"ACKER, DANE",R,04/11/99,MR5,,,,,,,,TEA 29,1.86,686769,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
HAH,D2023712SHC27,,1,"ACOSTA, ADRIAN",,05/20/05,M4,,,,,,,,,,802015,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
NYG,D2016735HOG35,,0,"ACOSTA, DAISON ",R,08/24/98,MR5,,,,,,,,,,670897,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
TUT,D2022105RFS04,,6,"ACOSTA, MAXIMO",R,10/29/02,M5,,,,-0.10,,,57,MMN 16,14.36,691185,KEEP,, $-   ,,60.00,6,-0.10,,,,,,,
HIB,D2022064HIB02,,6,"ACOSTA, VICTOR",B,06/10/04,M5,,,,,,,,,,694193,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
INC,D2022263INC09,,1,"ACTON, GARRETT",R,06/15/98,M5,,,,0.00,0,1,,,,670183,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
BRM,D2023088BRM03,,6,"ACUNA, BRYAN",,08/11/05,M4,,,,,,,,,,703195,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
LVA,D2023641LVA23,,6,"ACUNA, FRANCISCO",,01/12/00,M4,,,,,,,,,,672696,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
CHH,D2023434CHH15,,0,"ACUNA, JOSE",,10/20/02,M4,,,,,,,,,,691641,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
MUN,D2020023BRM01,40,4,"ACUNA, LUISANGEL",R,03/12/02,O,," $740,000 ",0.70,0.40,,,184,NYN 08,24.64,682668,KEEP,40," $740,000 ",,193.00,4,0.40,,,,,,,
SH1,D2016092NYG04,40,8,"ACUNA, RONALD",R,12/18/97,FA27,," $18,069,800 ",1.00,3.50,,,355,,,660670,KEEP,40," $18,069,800 ",,373.00,8,3.50,,,,,,,
FA,D2011ALES1,,1,"ADAM, JASON",R,08/04/91,UFA,2025," $740,000 ",1.30,1.20,0,69,,,,592094,,,,,0.00,1,1.20,,,,,,,
SL1,D2024368SL113,,6,"ADAMCZEWSKI, JOSH",L,05/10/05,M3,,,,,,,,,,815304,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
ALC,D2014279ALC10,40,6,"ADAMES, WILLY",R,09/02/95,FA27,," $7,835,823 ",4.80,4.00,,,621,,,642715,KEEP,40," $7,835,823 ",,652.00,6,4.00,,,,,,,
BGK,D2023495BRB17,,0,"ADAMETZ, JOE",L,12/23/99,M4,,,,,,,,,,701564,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2013346LV511,,1,"ADAMS, AUSTIN",R,05/05/91,UFA,," $740,000 ",0.00,,,,,,,613534,,,,,0.00,1,0.00,,,,,,,
PEC,D2023602PEC21,,0,"ADAMS, BLAKE",R,09/11/00,M4,,,,,,,,,,687060,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
SL1,D2024458SL116,,0,"ADAMS, GAVIN",R,02/08/03,M3,,,,,,,,,,701400,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
HOG,D2019023INC01,,8,"ADAMS, JORDYN",R,10/18/99,MR5,,,0.10,-0.10,,,5,,,677941,KEEP,, $-   ,,5.00,8,-0.10,,,,,,,
MOE,D2023300MER10,,5,"ADAMS, LUKE",R,04/24/04,M4,,,,,,,,MLN 11,22.29,702726,KEEP,, $-   ,,0.00,5,0.00,,,,,,,
BRM,D2023636BRM22,,0,"ADAMS, MASON",R,02/23/00,M4,,,,,,,,CHA 15,18.06,690279,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
SPI,D2015330BAB11,40,2,"ADAMS, RILEY",R,06/26/96,O3,," $740,000 ",-0.30,-0.60,,,276,,,656180,KEEP,40," $740,000 ",,290.00,2,-0.60,,,,,,,
HAH,D2022410SHC14,40,1,"ADAMS, TRAVIS",R,01/19/00,O,," $740,000 ",,-0.30,2,35,,MNA 24,7.20,701519,KEEP,40," $740,000 ",,0.00,1,-0.30,,,,,,,
PEC,D2020521PEC18,40,1,"ADCOCK, TY",R,02/07/97,O2,," $740,000 ",-0.40,0.00,0,3,,,,686654,KEEP,40," $740,000 ",,0.00,1,0.00,,,,,,,
KC1,D2025196KC107,,6,"ADDERLEY, BOHAN",R/R,11/10/06,M2,,,,,,,,,,816339,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
WBR,D2018008WBR01,40,8,"ADELL, JO ",R,04/08/99,A5,," $740,000 ",0.10,1.20,,,552,,,666176,KEEP,40," $740,000 ",,580.00,8,1.20,,,,,,,
HAH,D2023215SHC08,,0,"ADLER, ERIC",R,10/12/00,M4,,,,,,,,CHA HM,0.00,688328,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
MER,D2019223MER08,RELEASE,8,"ADOLPH, ROSS",L,12/17/96,MR5,,,,,,,,,,680244,RELEASE,, $-   ,,0.00,8,0.00,,,,,,,
FM2,D2019291FM210,RELEASE,1,"ADON, JOAN",R,08/12/98,O3,," $740,000 ",-0.10,,,,,,,672851,RELEASE,, $-   ,,0.00,1,0.00,,,,,,,
BAM,D2024437BAM15,,8,"ADVINCULA, JONAH",L,01/06/01,M3,,,,,,,,,,809945,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
MOE,D2025231MOE08,,0,"AGER, MATT",R/R,05/21/03,M2,,,,,,,,PIN 24,6.80,700400,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
MUN,D2023601MUN21,,1,"AGNOS, ZACH",R,08/15/00,O,," $740,000 ",,-0.40,0,33,,CON HM,0.00,688642,KEEP,," $740,000 ",,0.00,1,-0.40,,,,,,,
MUN,D2022714ALC29,40,0,"AGUIAR, JULIAN",R,09/17/03,O1,," $740,000 ",-0.30,,,,,CIN 12,19.27,687924,INJURED,40," $740,000 ",,0.00,0,0.00,,,,,,,
BRB,D2022176BRB06,,5,"AGUILAR, STARLIN",L,01/26/04,M5,,,,,,,,,,694223,KEEP,, $-   ,,0.00,5,0.00,,,,,,,
BAM,D2022478BAM16,,0,"AHLSTROM, ROBBY",,06/19/99,M5,,,,,,,,,,695239,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2012093RCQ03,,4,"AHMED, NICK",R,03/15/90,UFA,," $740,000 ",0.50,-0.10,,,9,,,605113,,,,,9.00,4,-0.10,,,,,,,
PEC,D2024127PEC05,,6,"AHUNA, MAUI",L,03/11/02,M3,,,,,,,,SFN 24,5.80,694757,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2018401SIM14,,1,"AIELLO, VINCENZO ",R,08/06/94,M5,,,,,,,,,,664027,,,,,0.00,1,0.00,,,,,,,
MER,D2025414MER14,,0,"AITA, BLAKE",R/R,06/11/03,M2,,,,,,,,,,820832,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
SPI,D2017054MOR02,40,1,"AKIN, KEEGAN",L,04/01/95,A5,," $2,529,892 ",1.40,-0.50,3,66,,,,669211,KEEP,40," $2,529,892 ",,0.00,1,-0.50,,,,,,,
INC,D2024463INC16,,6,"ALASTRE, LUIYIN",B,09/27/05,M3,,,,,,,,,,808236,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
INC,D2025469INC16,,1,"ALBERTO, ALEXANDER",R/R,11/02/01,M2,,,,,,,,,,693739,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
BGK,D2023650BGK23,,5,"ALBERTUS, ALEXANDER",,10/27/04,M4,,,,,,,,CHA 20,12.41,800316,KEEP,, $-   ,,0.00,5,0.00,,,,,,,
MOE,D2015019ALE01,40,4,"ALBIES, OZHAINO",B,01/07/97,FA26,," $12,057,992 ",1.30,1.30,,,633,,,645277,KEEP,40," $12,057,992 ",,665.00,4,1.30,,,,,,,
CHH,D2022342JAS12,,0,"ALBRIGHT, LUKE",R,12/13/99,M5,,,,,,,,,,681475,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
KEC,D2022261SIM09,,0,"ALBRIGHT, MASON",L,11/26/02,M5,,,,,,,,,,695476,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
INC,D2017275MER10,40,1,"ALCALA, JORGE",R,07/28/95,A5,," $740,000 ",0.30,-0.50,0,58,,,,660896,KEEP,40," $740,000 ",,0.00,1,-0.50,,,,,,,
LVA,D2023695LVA26,,2,"ALCALA, MOISES",,02/10/03,M4,,,,,,,,,,691278,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
SAG,D2024334SAG12,,6,"ALCANTARA, ALFREDO",R,10/25/05,M3,,,,,,,,,,807643,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
INC,D2025409INC14,,8,"ALCANTARA, KELVIN",L/L,09/15/05,M2,,,,,,,,SEA 26,5.71,808083,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
INC,D2020060INC02,40,8,"ALCANTARA, KEVIN",R,07/12/02,MR5,," $120,600 ",-0.10,0.10,,,12,CHN 05 [81],38.80,682634,KEEP,40," $120,600 ",,13.00,8,0.10,,,,,,,
CHH,D2023494CHH17,,6,"ALCANTARA, MARVIN",,11/02/04,M4,,,,,,,,,,800421,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2015710BAB29,,0,"ALCANTARA, SANDY",R,09/07/95,FA [HIB],," $19,965,539 ",,1.70,33,183,,,,645261,,,,,0.00,0,1.70,,,,,,,
INC,D2014063BAB02,,6,"ALCANTARA, SERGIO",B,07/10/96,A4,," $740,000 ",,-0.10,,,4,,,642727,KEEP,," $740,000 ",,4.00,6,-0.10,,,,,,,
NEE,D2024228NEE08,,0,"ALDEGHERI, SAMUEL",L,09/19/01,M3,,,-0.10,-0.30,2,14,,LAA 05,20.80,691951,KEEP,, $-   ,,0.00,0,-0.30,,,,,,,
MOE,D2024101MOE04,,8,"ALDERMAN, KEMP",R,08/20/02,M3,,,,,,,,MMN 17,13.40,694580,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
SL1,D2022334SL112,,6,"ALDUEY, FRAN",B,01/07/04,M5,,,,,,,,,,694199,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2022766KC140,,0,"ALEGRE, DELVIS",R,09/20/03,M4,,,,,,,,,,677590,,,,,0.00,0,0.00,,,,,,,
KEC,D2024186KEC07,,0,"ALEJANDRO, JERSON",R,02/23/06,M3,,,,,,,,,,808394,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
KC1,D2025646KC123,,6,"ALEJOS, ELIESBERT",R/R,06/09/06,M2,,,,,,,,,,808148,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
HOG,D2019360HOG12,40,1,"ALEMAN, FRANCO",R,06/26/00,MR5,," $120,600 ",,,,,,CLA 30,1.10,680916,KEEP,40," $120,600 ",,0.00,1,0.00,,,,,,,
INC,D2025529INC18,,0,"ALEWINE, BRYCE",R/R,11/18/04,M2,,,,,,,,,,828508,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
MUN,D2019057BRM02,40,5,"ALEXANDER, BLAZE",R,06/11/99,O1,," $740,000 ",-0.10,1.00,,,242,,,677942,KEEP,40," $740,000 ",,254.00,5,1.00,,,,,,,
BRB,D2019101BRB04,40,5,"ALEXANDER, CJ",L,07/17/96,MR5,," $120,600 ",-0.30,-0.30,,,18,,,680769,KEEP,40," $120,600 ",,19.00,5,-0.30,,,,,,,
FA,FA2023LVA,,0,"ALEXANDER, JASON",R,03/01/93,UFA,," $740,000 ",,0.20,22,116,,,,669920,,,,,0.00,0,0.20,,,,,,,
KEC,D2025355KEC12,,3,"ALEXANDER, JESUS",L/R,09/04/05,M2,,,,,,,,,,808377,KEEP,, $-   ,,0.00,3,0.00,,,,,,,
FA,D2011ALC10,,1,"ALEXANDER, SCOTT",L,07/10/89,UFA,," $740,000 ",0.10,-0.60,0,19,,,,518397,,,,,0.00,1,-0.60,,,,,,,
KC1,D2014413JAS14,40,0,"ALEXANDER, TYLER",L,07/14/94,A6,," $740,000 ",-0.60,1.30,5,103,,,,641302,KEEP,40," $740,000 ",,0.00,0,1.30,,,,,,,
KC1,D2025583KC120,,0,"ALFARO, JERVIS",R/R,10/24/03,M2,,,,,,,,,,807697,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2011NEE04,,2,"ALFARO, JORGE",R,06/11/93,UFA,," $740,000 ",,-0.30,,,41,,,595751,,,,,43.00,2,-0.30,,,,,,,
HOG,D2019300HOG10,RELEASE,2,"ALFONZO, ELIEZER",B,09/23/99,MR5,,,,,,,,,,672613,RELEASE,, $-   ,,0.00,2,0.00,,,,,,,
OSC,D2024392LVA14,,2,"ALFONZO, OMAR",L,08/03/03,M3,,,,,,,,PIN 15,15.54,692657,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
BRM,D2022341BRM12,,2,"ALIENDO, PABLO",R,05/29/01,M5,,,,,,,,CHN 24,7.60,680846,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
KEC,D2020019BOB01,,0,"ALLAN, MATTHEW",R,04/17/01,MR5,,,,,,,,,,682929,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
HAH,D2016006MOR01,40,1,"ALLARD, KOLBY",L,08/13/97,A6,," $1,491,613 ",0.10,0.70,2,68,,,,663465,KEEP,40," $1,491,613 ",,0.00,1,0.70,,,,,,,
BAM,D2022268BAM09,RELEASE,8,"ALLEN, BRADY",,09/03/99,M5,,,,,,,,,,680918,RELEASE,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2015293JAS10,,8,"ALLEN, GREG",B,03/15/93,UFA,," $740,000 ",,-0.30,,,15,,,656185,,,,,16.00,8,-0.30,,,,,,,
INC,D2022036INC1S,,8,"ALLEN, JAY",R,11/22/02,M5,,,,,,,,CIN HM,0.00,695481,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2016069MER03,,1,"ALLEN, LOGAN",L,05/23/97,UFA,," $740,000 ",0.00,,,,,,,663531,,,,,0.00,1,0.00,,,,,,,
FA,D2021095KC104,,8,"ALLEN, LOGAN",,08/13/98,M3,,,,,,,,,,673726,,,,,0.00,8,0.00,,,,,,,
SAG,D2018301LV511,40,0,"ALLEN, LOGAN ",L,09/05/98,O2,," $740,000 ",-0.70,1.70,30,165,,,,671106,KEEP,40," $740,000 ",,0.00,0,1.70,,,,,,,
FM2,D2018080FM203,40,6,"ALLEN, NICK ",R,10/08/98,O3,," $740,000 ",-0.60,0.70,,,390,,,669397,KEEP,40," $740,000 ",,410.00,6,0.70,,,,,,,
SPI,D2025184SPI07,,0,"ALLSUP, CHASE",R/R,04/21/03,M2,,,,,,,,BAA 26,5.29,695482,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2022763KC139,,0,"ALMANZAR, STIVEN",R,09/20/03,M5,,,,,,,,,,694055,,,,,0.00,0,0.00,,,,,,,
NYG,D2024155NYG06,,6,"ALMEYDA, LUIS",R,04/17/06,M3,,,,,,,,,,806981,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2009GLL11,,8,"ALMONTE, ABRAHAM",B,06/27/89,UFA,," $740,000 ",,,,,,,,501659,,,,,0.00,8,0.00,,,,,,,
SH1,D2025479BAB16,,0,"ALMONTE, ALEXANDER",R/R,09/14/06,M2,,,,,,,,,,823012,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
PEC,D2022102BRM04,,8,"ALMONTE, ARIEL",L,12/01/03,M5,,,,,,,,,,694200,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
MER,D2023618MER21,RELEASE,1,"ALMONTE, GENDERSON",,12/13/03,M4,,,,,,,,,,800464,RELEASE,, $-   ,,0.00,1,0.00,,,,,,,
FA,D2013116BAM03,,1,"ALMONTE, YENCY",R,06/04/94,UFA,," $740,000 ",0.20,,,,,,,622075,,,,,0.00,1,0.00,,,,,,,
BBS,D2023118BGS04,RELEASE,8,"ALONSO, JUAN",,11/03/03,M4,,,,,,,,,,699076,RELEASE,, $-   ,,0.00,8,0.00,,,,,,,
HIB,D2017064WT103,40,3,"ALONSO, PETER",R,12/07/94,FA28,," $12,985,618 ",2.10,3.60,,,655,,,624413,KEEP,40," $12,985,618 ",,688.00,3,3.60,,,,,,,
HAH,D2025435HAH15,,8,"ALPURIA, JOSE",B/R,02/12/05,M2,,,,,,,,,,800434,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2015181WT107,,1,"ALTAVILLA, DAN",R,09/08/92,UFA,," $740,000 ",-0.10,-0.20,0,30,,,,656186,,,,,0.00,1,-0.20,,,,,,,
HAH,D2023726SHC28,RELEASE,6,"ALTUVE, BRAYAN",,01/22/03,M4,,,,,,,,,,691266,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
LVA,D2023678LVA25,RELEASE,2,"ALTUVE, CARLOS",,01/06/05,M4,,,,,,,,,,805061,RELEASE,, $-   ,,0.00,2,0.00,,,,,,,
FA,D2011GSR09,,4,"ALTUVE, JOSE",R,05/06/90,UFA,," $740,000 ",3.90,2.10,,,617,,,514888,,,,,648.00,4,2.10,,,,,,,
FA,D2023105CHH04,,8,"ALU, JAKE",,04/06/97,UFA,," $740,000 ",,,,,,,,666906,,,,,0.00,8,0.00,,,,,,,
INC,D2020387INC13,,1,"ALVARADO, ELVIS",R,02/23/99,O,," $740,000 ",,0.10,0,44,,,,665660,KEEP,," $740,000 ",,0.00,1,0.10,,,,,,,
SPI,D2014400CS114,40,1,"ALVARADO, JOSE",L,05/21/95,FA26,," $9,000,000 ",0.60,0.30,0,27,,,,621237,KEEP,40," $9,000,000 ",,0.00,1,0.30,,,,,,,
RFS,D2023432RFS15,RELEASE,5,"ALVAREZ, ANDRES",,03/29/97,M4,,,,,,,,,,687019,RELEASE,, $-   ,,0.00,5,0.00,,,,,,,
RFS,"D2022699BGK27
D2024453RFS16",40,0,"ALVAREZ, ANDREW",L,09/23/03,O,," $740,000 ",,0.60,5,24,,,,674841,KEEP,40," $740,000 ",,0.00,0,0.60,,,,,,,
BBS,D2025559BBS19,,3,"ALVAREZ, EDGAR",L/R,02/19/01,M2,,,,,,,,,,827294,KEEP,, $-   ,,0.00,3,0.00,,,,,,,
OSC,D2023338OSC12,,4,"ALVAREZ, ERICK",,02/01/05,M4,,,,,,,,,,801248,KEEP,, $-   ,,0.00,4,0.00,,,,,,,
BRM,D2020007ALC01,40,2,"ALVAREZ, FRANCISCO",R,11/19/01,O2,," $771,370 ",1.90,1.80,,,258,,,682626,KEEP,40," $771,370 ",,271.00,2,1.80,,,,,,,
HAH,D2025285HAH10,,8,"ALVAREZ, HAYDEN",R/R,03/19/07,M2,,,,,,,,LAA HM,0.00,820986,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
CHH,D2019391LVA14,,0,"ALVAREZ, JHOSMER",,06/29/01,MR5,,,,,,,,,,678493,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
PEC,D2023131PEC05,40,5,"ALVAREZ, NACHO",R,04/11/03,O,," $740,000 ",-0.50,0.20,,,197,ATN 05,22.66,805373,KEEP,40," $740,000 ",,207.00,5,0.20,,,,,,,
SH1,D2017129LVP05,40,10,"ALVAREZ, YORDAN",L,06/27/97,FA28,," $17,954,608 ",5.30,0.50,,,173,,,670541,KEEP,40," $17,954,608 ",,182.00,10,0.50,,,,,,,
CHH,D2014126BGK05,RELEASE,1,"ALZOLAY, ADBERT",R,03/01/95,A5,," $1,000,000 ",-0.80,,,,,,,640470,RELEASE,, $-   ,,0.00,1,0.00,,,,,,,
RFS,D2022074JAS03,40,4,"AMADOR, ADAEL",B,04/11/03,O,," $740,000 ",-0.40,-0.90,,,119,CON 05,26.00,691182,KEEP,40," $740,000 ",,125.00,4,-0.90,,,,,,,
CHH,D2025681CHH25,,0,"AMARANTE, JUAN",L/L,04/14/04,M2,,,,,,,,,,702431,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
GLL,D2018309KC111,40,6,"AMAYA, JACOB ",R,09/03/98,MR5,,,-0.30,-0.80,,,69,,,676070,KEEP,40," $120,600 ",,72.00,6,-0.80,,,,,,,
BGK,D2017319BGK11,40,2,"AMAYA, MIGUEL",R,03/09/99,O2,," $740,000 ",0.70,0.80,,,101,,,665804,KEEP,40," $740,000 ",,106.00,2,0.80,,,,,,,
TUT,D2024451TUT16,,0,"AMENDT, KYLE",R,04/05/00,M3,,,,,,,,ARN 27,4.00,694900,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
NEE,D2025088NEE03,,5,"AMICK, BILLY",R/R,11/04/02,M2,,,,,,,,MNA 13,18.51,701771,KEEP,, $-   ,,0.00,5,0.00,,,,,,,
ALC,D2025566ALC19,,4,"AMPARO, EDWIN",B/R,10/14/04,M2,,,,,,,,,,800348,KEEP,, $-   ,,0.00,4,0.00,,,,,,,
BAM,D2024167BAM06,,6,"ANDERSON, ANTONIO",B,06/28/05,M3,,,,,,,,,,702995,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2020736LVA31,,1,"ANDERSON, BEN",,05/02/98,MR5,,,,,,,,,,670391,,,,,0.00,1,0.00,,,,,,,
WBR,D2024646WBR22,,0,"ANDERSON, CASEY",R,08/31/00,M3,,,,,,,,,,814783,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2010RCQ17,,1,"ANDERSON, CHASE",R,11/30/87,UFA,," $740,000 ",-0.50,,,,,,,502624,,,,,0.00,1,0.00,,,,,,,
NYG,D2025128NYG05,,2,"ANDERSON, ETHAN",B/R,09/21/03,M2,,,,,,,,BAA 13,19.03,803175,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
FA,FA2024NYG,,1,"ANDERSON, GRANT",R,06/21/97,UFA,," $740,000 ",-0.90,0.40,0,73,,,,681982,,,,,0.00,1,0.40,,,,,,,
INC,D2017014ALC01,40,1,"ANDERSON, IAN",R,05/02/98,A5,," $740,000 ",,-0.10,0,10,,,,666120,KEEP,40," $740,000 ",,0.00,1,-0.10,,,,,,,
KC1,D2025166KC106,,8,"ANDERSON, JOSE",R/R,11/28/06,M2,,,,,,,,MLN 26,5.57,821262,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2016383RFS13,,1,"ANDERSON, JUSTIN",R,09/28/92,UFA,," $740,000 ",0.20,,,,,,,605121,,,,,0.00,1,0.00,,INJURED,,,,,
WBR,D2024121TUT05,,6,"ANDERSON, MAX",R,02/28/02,M3,,,,,,,,DEA HM,0.00,801194,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
SH1,D2019623BAB22,RELEASE,1,"ANDERSON, NICK",,07/05/90,A6,," $825,000 ",-0.20,0.00,0,15,,,,623433,RELEASE,, $-   ,,0.00,1,0.00,,,,,,,
FA,D2020568LVA20,,0,"ANDERSON, RYAN",L,09/09/98,MR5,,,,,,,,,,669243,,,,,0.00,0,0.00,,,,,,,
FA,D2017149BRB05,,1,"ANDERSON, SHAUN",R,10/29/94,UFA,," $740,000 ",0.00,-0.50,0,12,,,,641312,,,,,0.00,1,-0.50,,,,,,,
FA,D2014018RFS01,,6,"ANDERSON, TIM",R,06/23/93,UFA,," $740,000 ",-1.40,0.10,,,87,,,641313,,,,,91.00,6,0.10,,,,,,,
FA,D2012033SGP1S,,0,"ANDERSON, TYLER",L,12/30/89,UFA,," $740,000 ",1.60,0.10,29,147,,,,542881,,,,,0.00,0,0.10,,,,,,,
HOG,D2025515HOG18,,0,"ANDRADE, RYAN",R/R,03/17/03,M2,,,,,,,,,,822876,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
ALC,D2019285ALC10,RELEASE,1,"ANDREWS, CLAYTON",L,01/04/97,MR5,,,-0.10,,,,,,,677076,RELEASE,, $-   ,,0.00,1,0.00,,,,,,,
SPI,D2022762SPI38,RELEASE,8,"ANDREWS, EJ",R,10/05/03,M5,,,,,,,,,,681044,RELEASE,, $-   ,,0.00,8,0.00,,,,,,,
BBS,D2025140BBS05,,6,"ANDUJAR, ASHLY",B/R,07/29/07,M2,,,,,,,,CON HM,0.00,815903,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2013436BAB14,,8,"ANDUJAR, MIGUEL",R,03/02/95,UFA,," $740,000 ",0.40,1.10,,,337,,,609280,,,,,354.00,8,1.10,,,,,,,
BAM,D2020413BAM14,,4,"ANGELES, EURIBIEL",,05/11/02,MR5,,,,,,,,,,683494,KEEP,, $-   ,,0.00,4,0.00,,,,,,,
BRM,D2025150BRM05,,0,"ANGELO, ROMAN",R/R,06/17/00,M2,,,,,,,,ARN 26,5.00,809109,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
